"Shape","Possible?","Freeplay?","Simple Floating?","Multilayer Scaffolding?","Drop Through?"
"CuCuCuCu:--Cu--Cu","true","true","false","false","false"
"CuCuCuCu:CuCuCu--","true","true","false","false","false"
"CuCuCuCu:--CuCuCu","true","true","false","false","false"
"CuCuCuCu:Cu--CuCu","true","true","false","false","false"
"CuCuCuCu:CuCu--Cu","true","true","false","false","false"
"CuCuCuCu:CuCuCuCu","true","true","false","false","false"
"Cu------:Cu------:Cu------","true","true","false","false","false"
"Cu------:Cu------:--Cu----","true","false","true","false","false"
"Cu------:Cu------:----Cu--","false","false","false","false","false"
"Cu------:Cu------:------Cu","true","false","true","false","false"
"Cu------:Cu------:CuCu----","true","true","false","false","false"
"Cu------:Cu------:--CuCu--","false","false","false","false","false"
"Cu------:Cu------:----CuCu","false","false","false","false","false"
"Cu------:Cu------:Cu----Cu","true","true","false","false","false"
"Cu------:Cu------:Cu--Cu--","true","true","false","false","false"
"Cu------:Cu------:--Cu--Cu","false","false","false","false","false"
"Cu------:Cu------:CuCuCu--","true","true","false","false","false"
"Cu------:Cu------:--CuCuCu","false","false","false","false","false"
"Cu------:Cu------:Cu--CuCu","true","true","false","false","false"
"Cu------:Cu------:CuCu--Cu","true","true","false","false","false"
"Cu------:Cu------:CuCuCuCu","true","true","false","false","false"
"Cu------:--Cu----:Cu------","true","false","false","true","false"
"Cu------:--Cu----:--Cu----","true","false","true","false","false"
"Cu------:--Cu----:----Cu--","false","false","false","false","false"
"Cu------:--Cu----:------Cu","false","false","false","false","false"
"Cu------:--Cu----:CuCu----","true","false","true","false","false"
"Cu------:--Cu----:--CuCu--","true","false","true","false","false"
"Cu------:--Cu----:----CuCu","false","false","false","false","false"
"Cu------:--Cu----:Cu----Cu","false","false","false","false","false"
"Cu------:--Cu----:Cu--Cu--","false","false","false","false","false"
"Cu------:--Cu----:--Cu--Cu","true","false","true","false","false"
"Cu------:--Cu----:CuCuCu--","true","false","true","false","false"
"Cu------:--Cu----:--CuCuCu","true","false","true","false","false"
"Cu------:--Cu----:Cu--CuCu","false","false","false","false","false"
"Cu------:--Cu----:CuCu--Cu","true","false","true","false","false"
"Cu------:--Cu----:CuCuCuCu","true","false","true","false","false"
"Cu------:----Cu--:Cu------","false","false","false","false","false"
"Cu------:----Cu--:--Cu----","false","false","false","false","false"
"Cu------:----Cu--:----Cu--","false","false","false","false","false"
"Cu------:----Cu--:------Cu","false","false","false","false","false"
"Cu------:----Cu--:CuCu----","false","false","false","false","false"
"Cu------:----Cu--:--CuCu--","false","false","false","false","false"
"Cu------:----Cu--:----CuCu","false","false","false","false","false"
"Cu------:----Cu--:Cu----Cu","false","false","false","false","false"
"Cu------:----Cu--:Cu--Cu--","false","false","false","false","false"
"Cu------:----Cu--:--Cu--Cu","false","false","false","false","false"
"Cu------:----Cu--:CuCuCu--","false","false","false","false","false"
